# HERMES scarfar(väskor) är en investering,och mycket roligare än aktier!
#
#     Прибытие Название                         Автор                                  Сделан     Коммент
 79 - .            Astrologie nouvelle.                     Faconnet&Diatkine,Marie-Françoise&Cyrille. 2012.            ES
 80 - .            Torana.                                  Faivre,Annie.                               1987/1990/2000.  G
 81 - .            Tarot.                                   Faivre,Annie.                               1991.
 82 - .            L'art des steppes.                       Faivre,Annie.                               1991/1997/2000.
 83 - .            Le temps des marionnettes.               Faivre,Annie.                               1996.
 84 - .            Alliances du monde.                      Faivre,Annie.                               2005.
 85 - .            Charreada.                               Fougerolle,Jean.                            1993.
 86 - .            Insectes.                                Grygkar&La Torre,Hugo&.                     1958.
 87 - .            Ex-libris.                               Grygkar,Hugo.                               1946/1998.       G EL
 88 - .            Reale.                                   Grygkar,Hugo.                               1953/1990.
 89 - .            Armes de Paris.                          Grygkar,Hugo.                               1954/1992.       П Юры
 90 - .            Brides de Gala.                          Grygkar,Hugo.                               1957/1967/2009.
 91 - .            Grande venerie royale.                   Hallo,Charles-Jean.                         1957.
 92 - .            La mecanique des idees.                  Henry,Christine.                            2004.
 93 - .            Les Chemins Secrets.                     Henry,Christine.                            2015.            def 136/97
 94 - .            Passementerie.                           Heron,Marie-Francoise.                      1960/1981.
 95 - .            Jardins des métamorphoses.              Houtin,François.                           2010.
 96 - .            Collies de chiens.                       Jamin,Virginie.                             .                Twilly
 97 - .            Coqs.                                    La Torre,.                                  1964.
 98 - .            Maillons.                                Latham,Caty.                                1973.
 99 - .            Farandole.                               Latham,Caty.                                1977/1990/2006.
100 - .            Sulfures & presse-papiers.               Latham,Caty.                                1979.
101 - .            Washington's carriage.                   Latham,Caty.                                1979/1981.
102 - .            India.                                   Latham,Caty.                                1986.
103 - .            Reveries japonaises.                     Latham,Caty.                                1991.
104 - .            Couvee d'Hermès.                        Latham,Caty.                                1994.
105 - .            Cuillers d'Afrique.                      Latham,Caty.                                1997.
106 - .            Napoleon.                                Ledoux,Philippe.                            1963/1985.
107 - .            Promenade de Longchamp.                  Ledoux,Philippe.                            1965/1970.
108 - .            Marine et cavalerie.                     Ledoux,Philippe.                            1966/1984.
109 - .            L'Hiver.                                 Ledoux,Philippe.                            1969(1968?).
110 - .            Armes de chasse.                         Ledoux,Philippe.                            1970/1981.
111 - .            Reprise.                                 Ledoux,Philippe.                            1970/1993.
112 - .            Springs.                                 Ledoux,Philippe.                            1974/1981.
113 - .            Etude pour une parure.                   Manlik,Florence.                            2017.
114 - .            Do Re Boucles.                           Manlik,Florence.                            .                Twilly
115 - .            Regina.                                  Menchari,Leila.                             1972.
116 - .            Rose de vents.                           Metz,Joachim.                               1984/2012.
117 - .            Tuileries.                               Metz,Joachim.                               1996.
118 - .            Zabavushka.                              Miro,Evgenia.                               2009.            Sold
119 - .            Jeu de Omnibus et DameBlanche.           Pagni,Gianpaolo.                            2018.            Remix
120 - .            Les Nouveaux Amoureux de Paris.          Pierre,Marie.                               2021.            B
121 - .            Marche Flottant du Lac Inle II.          Rybaltchenko,Dimitri.                       1998/2001.
122 - .            Ryton.                                   Swildens,Karin.                             1978.
123 - .            Selles a housse.                         Vauzelles,Christiane.                       1968/1989.
124 - .            Mors a la conetable.                     d'Origny,Henri.                             1970/1985.
125 - .            Eperon d'or.                             d'Origny,Henri.                             1974/1989.       2+(1)
126 - .            Cavalcadour.                             d'Origny,Henri.                             1982/1992/2012.  2
127 - .            Cavalcadour.                             d'Origny,Henri.                             1982/1992/2012.  МaxTwilly
128 - .            Grand tenue.                             d'Origny,Henri.                             1985/1998.
129 - .            Sacre du printems.                       d'Origny,Henri.                             1986.
130 - .            Festival des amazones.                   d'Origny,Henri.                             2013/2014.
131 - .            Casse-noisette.                          de Jacquelot,Antoine.                       1997.
132 - .            Cuivreries.                              de La Perrière,Françoise.                 1963.            Scarf/vintage 2
133 - .            Cuivreries.                              de La Perrière,Françoise.                 1963.            Variant
134 - .            Les Voitures a Transformation.           de La Perrière,Françoise.                 1965/1980.       3
135 - .            Palefroi.                                de La Perrière,Françoise.                 1965/1983.
136 - .            Bride de cour.                           de La Perrière,Françoise.                 1970/1987.
137 - .            Gibiers.                                 de Linares,Henri.                           1966/1991/1997.
138 - .            Levriers.                                de Poret,Xavier.                            1957/1970/2002.
139 - .            Le Carnaval de Venise.                   de Watrigant,Hubert.                        1993/1997.
140 - .            Real Escuela Andaluza Del Arte Ecuestre. de Watrigant,Hubert.                        1996/2000.
