Script started on Mon Jul  5 10:25:32 2021
command: php list.php
PHP Notice:  Use of undefined constant cnf_CLI - assumed 'cnf_CLI' in /Users/yb/github/pw_profile_united.git/site-united/classes/debug.php on line 16
Afrika                         Robert Dallet             1997                       OK Hermès, Afrika, 1997, Robert Dallet
Armes de Paris                 Hugo Grygkar              1954/1992                  OK Hermès, Armes de Paris, 1954/1992, Hugo Grygkar
Armes de chasse                Philippe Ledoux           1970/1981                  OK Hermès, Armes de chasse, 1970/1981, Philippe Ledoux
Astrologie nouvelle            Faconnet&Diatkine         2012                       OK Hermès, Astrologie nouvelle, 2012, Marie-Françoise Faconnet, Cyrille Diatkine
Avenue des acasias             Philippe Ledoux           1964                       OK Hermès, Avenue des acasias, 1964, Philippe Ledoux
Azuejos                        Catherine Baschet         1992                       OK Hermès, Azuejos, 1992, Catherine Baschet
Brazil                         Laurence Bourthoumieux    1988/1991       2          OK Hermès, Brazil, 1988/1991, Laurence Bourthoumieux
Bride de cour                  Francoise Perriere        1970/1987                  OK Hermès, Bride de cour, 1970/1987, Françoise de La Perrière
Brides de gala                 Hugo Grygkar              1957/1967/2009             OK Hermès, Brides de Gala, 1957/1967/2009, Hugo Grygkar
Casse-noisette                 Antoine Jacquelot         1997                       OK Hermès, Casse-noisette, 1997, Antoine de Jacquelot
Cavalcadour                    Henri d'Origny            1982/1992/2012  2          OK Hermès, Cavalcadour, 1982/1992/2012, Henri d&#039;Origny
Cavaliers peuls                Jean Fougerolles          1993                       OK Hermès, Cavaliers peuls, 1993, Jean de Fougerolle
Charreada                      Jean Fougerolles          1990                       OK Hermès, Charreada, 1990, Jean de Fougerolle
Cheval turc                    Christiane Vauzelles      1970/1989                  OK Hermès, Cheval Turc, 1970/1989, Christiane Vauzelles
Clefs                          Caty Latham               1965/1980/2010             OK Hermès, Clefs, 1965/1980/2010, Cathy Latham-Audibert
Clic-clac                      Julie Abadie              1979/1997/2011             OK Hermès, Clic-clac, 1979/1997/2011, Julia Abadie
Coqs                            La Torre                 1964                       OK Hermès, Coqs, 1964, La Torre
Couvee d'Hermes                Caty Latham               1994                       OK Hermès, Couvee d'Hermes, 1994, Cathy Latham-Audibert
Cuillers d'Afrique             Caty Latham               1997                       OK Hermès, Cuillers d,Afrique, 1997, Cathy Latham-Audibert
Cuivreries(Variant)            Francoise Perriere        1963                       OK Hermès, Cuivreries (Variant), 1963, Françoise de La Perrière
